,Country,Year,Value_union,MEASURE,Age group,Value_gini_cpi
2136,Korea,2016,11.9,CPI2010,Total population,110.8944688
2140,Korea,2016,11.9,CPI2015,Total population,100.9708
2145,Korea,2017,10.5,CPI2010,Total population,113.0508368
2149,Korea,2017,10.5,CPI2015,Total population,102.9342
2154,Korea,2017,12.4,CPI2010,Total population,113.0508368
2158,Korea,2017,12.4,CPI2015,Total population,102.9342
2162,United Kingdom,2009,27.4,CPI2010,Total population,97.55826859
2163,United Kingdom,2009,27.4,CPI2010,Total population,97.55826859
2172,United Kingdom,2009,27.4,CPI2015,Total population,87.9
2177,United Kingdom,2009,27.4,CPI2015,Total population,87.9
2180,United Kingdom,2009,27.0,CPI2010,Total population,97.55826859
2181,United Kingdom,2009,27.0,CPI2010,Total population,97.55826859
2190,United Kingdom,2009,27.0,CPI2015,Total population,87.9
2195,United Kingdom,2009,27.0,CPI2015,Total population,87.9
2198,United Kingdom,2010,26.6,CPI2010,Total population,100.0
2199,United Kingdom,2010,26.6,CPI2010,Total population,100.0
2208,United Kingdom,2010,26.6,CPI2015,Total population,90.1
2213,United Kingdom,2010,26.6,CPI2015,Total population,90.1
2216,United Kingdom,2010,26.8,CPI2010,Total population,100.0
2217,United Kingdom,2010,26.8,CPI2010,Total population,100.0
2226,United Kingdom,2010,26.8,CPI2015,Total population,90.1
2231,United Kingdom,2010,26.8,CPI2015,Total population,90.1
2233,United Kingdom,2011,26.0,CPI2010,Total population,103.8845727
2240,United Kingdom,2011,26.0,CPI2015,Total population,93.6
2242,United Kingdom,2011,26.5,CPI2010,Total population,103.8845727
2249,United Kingdom,2011,26.5,CPI2015,Total population,93.6
2251,United Kingdom,2012,26.1,CPI2010,Total population,106.5482797
2258,United Kingdom,2012,26.1,CPI2015,Total population,96.0
2260,United Kingdom,2012,26.1,CPI2010,Total population,106.5482797
2267,United Kingdom,2012,26.1,CPI2015,Total population,96.0
2269,United Kingdom,2013,25.6,CPI2010,Total population,108.9900111
2276,United Kingdom,2013,25.6,CPI2015,Total population,98.2
2278,United Kingdom,2013,25.4,CPI2010,Total population,108.9900111
2285,United Kingdom,2013,25.4,CPI2015,Total population,98.2
2287,United Kingdom,2014,25.0,CPI2010,Total population,110.5438402
2294,United Kingdom,2014,25.0,CPI2015,Total population,99.6
2296,United Kingdom,2014,25.0,CPI2010,Total population,110.5438402
2303,United Kingdom,2014,25.0,CPI2015,Total population,99.6
2305,United Kingdom,2015,24.7,CPI2010,Total population,110.9877913
2312,United Kingdom,2015,24.7,CPI2015,Total population,100.0
2314,United Kingdom,2015,24.2,CPI2010,Total population,110.9877913
2321,United Kingdom,2015,24.2,CPI2015,Total population,100.0
2323,United Kingdom,2016,23.6,CPI2010,Total population,112.0976693
2330,United Kingdom,2016,23.6,CPI2015,Total population,101.0
2332,United Kingdom,2016,23.7,CPI2010,Total population,112.0976693
2339,United Kingdom,2016,23.7,CPI2015,Total population,101.0
2341,United Kingdom,2017,23.3,CPI2010,Total population,114.9833518
2348,United Kingdom,2017,23.3,CPI2015,Total population,103.6
2350,United Kingdom,2017,23.2,CPI2010,Total population,114.9833518
2357,United Kingdom,2017,23.2,CPI2015,Total population,103.6
2359,United Kingdom,2018,23.4,CPI2010,Total population,117.6470588
2366,United Kingdom,2018,23.4,CPI2015,Total population,106.0
2368,United Kingdom,2018,23.4,CPI2010,Total population,117.6470588
2375,United Kingdom,2018,23.4,CPI2015,Total population,106.0
2377,Australia,2010,18.4,CPI2010,Total population,100.0
2382,Australia,2010,18.4,CPI2015,Total population,89.25005999999999
2387,Australia,2012,18.2,CPI2010,Total population,105.1248705
2388,Australia,2012,18.2,CPI2010,Total population,105.1248705
2397,Australia,2012,18.2,CPI2015,Total population,93.82401
2402,Australia,2012,18.2,CPI2015,Total population,93.82401
2404,Australia,2014,15.1,CPI2010,Total population,110.3798138
2411,Australia,2014,15.1,CPI2015,Total population,98.51405
2413,Australia,2016,14.6,CPI2010,Total population,113.475554
2420,Australia,2016,14.6,CPI2015,Total population,101.277
2422,Australia,2018,13.7,CPI2010,Total population,117.898072
2429,Australia,2018,13.7,CPI2015,Total population,105.2241
2431,Netherlands,2009,19.1,CPI2010,Total population,98.74076801
2436,Netherlands,2009,19.1,CPI2015,Total population,90.43584
2440,Netherlands,2009,20.0,CPI2010,Total population,98.74076801
2445,Netherlands,2009,20.0,CPI2015,Total population,90.43584
2449,Netherlands,2010,18.6,CPI2010,Total population,100.0
2454,Netherlands,2010,18.6,CPI2015,Total population,91.58916
2458,Netherlands,2010,19.5,CPI2010,Total population,100.0
2463,Netherlands,2010,19.5,CPI2015,Total population,91.58916
2467,Netherlands,2011,18.4,CPI2010,Total population,102.341074
2474,Netherlands,2011,18.4,CPI2015,Total population,93.73333
2476,Netherlands,2011,19.3,CPI2010,Total population,102.341074
2483,Netherlands,2011,19.3,CPI2015,Total population,93.73333
2486,Netherlands,2012,17.9,CPI2010,Total population,104.8541116
2487,Netherlands,2012,17.9,CPI2010,Total population,104.8541116
2496,Netherlands,2012,17.9,CPI2015,Total population,96.035
2501,Netherlands,2012,17.9,CPI2015,Total population,96.035
2504,Netherlands,2012,18.8,CPI2010,Total population,104.8541116
2505,Netherlands,2012,18.8,CPI2010,Total population,104.8541116
2514,Netherlands,2012,18.8,CPI2015,Total population,96.035
2519,Netherlands,2012,18.8,CPI2015,Total population,96.035
2521,Netherlands,2013,17.8,CPI2010,Total population,107.4826977
2528,Netherlands,2013,17.8,CPI2015,Total population,98.4425
2530,Netherlands,2013,18.2,CPI2010,Total population,107.4826977
2537,Netherlands,2013,18.2,CPI2015,Total population,98.4425
2539,Turkey,2013,6.3,CPI2010,Total population,124.6263037
2544,Turkey,2013,6.3,CPI2015,Total population,85.32085
2548,Turkey,2014,6.9,CPI2010,Total population,135.6614352
2553,Turkey,2014,6.9,CPI2015,Total population,92.87565
2557,Turkey,2015,8.0,CPI2010,Total population,146.0678178
2562,Turkey,2015,8.0,CPI2015,Total population,100.0
2567,Greece,2010,22.2,CPI2010,Total population,100.0
2568,Greece,2010,22.2,CPI2010,Total population,100.0
2577,Greece,2010,22.2,CPI2015,Total population,99.23457
2580,Greece,2010,22.2,CPI2015,Total population,99.23457
2585,Greece,2013,23.1,CPI2010,Total population,103.9141904
2586,Greece,2013,23.1,CPI2010,Total population,103.9141904
2595,Greece,2013,23.1,CPI2015,Total population,103.1188
2598,Greece,2013,23.1,CPI2015,Total population,103.1188
2602,Greece,2016,20.2,CPI2010,Total population,99.93930543
2607,Greece,2016,20.2,CPI2015,Total population,99.17434
2611,Austria,2009,29.3,CPI2010,Total population,98.21877059999998
2617,Austria,2009,29.3,CPI2015,Total population,88.74172
2620,Austria,2010,28.9,CPI2010,Total population,100.0
2626,Austria,2010,28.9,CPI2015,Total population,90.35108
2629,Austria,2011,28.3,CPI2010,Total population,103.2865905
2635,Austria,2011,28.3,CPI2015,Total population,93.32055
2638,Austria,2012,28.0,CPI2010,Total population,105.8539533
2644,Austria,2012,28.0,CPI2015,Total population,95.64019
2647,Austria,2013,27.8,CPI2010,Total population,107.9712052
2653,Austria,2013,27.8,CPI2015,Total population,97.55315
2656,Austria,2014,27.7,CPI2010,Total population,109.7050085
2662,Austria,2014,27.7,CPI2015,Total population,99.11966
2665,Austria,2015,27.4,CPI2010,Total population,110.6885496
2671,Austria,2015,27.4,CPI2015,Total population,100.0083
2674,Austria,2016,26.9,CPI2010,Total population,111.6754775
2680,Austria,2016,26.9,CPI2015,Total population,100.9
2683,Austria,2017,26.7,CPI2010,Total population,113.9997441
2689,Austria,2017,26.7,CPI2015,Total population,103.0
2692,Austria,2018,26.3,CPI2010,Total population,116.2778574
2698,Austria,2018,26.3,CPI2015,Total population,105.0583
2701,Denmark,2009,67.7,CPI2010,Total population,97.74126604
2706,Denmark,2009,67.7,CPI2015,Total population,91.23333
2710,Denmark,2010,67.2,CPI2010,Total population,100.0
2715,Denmark,2010,67.2,CPI2015,Total population,93.34167
2720,Denmark,2011,67.8,CPI2010,Total population,102.7586714
2721,Denmark,2011,67.8,CPI2010,Total population,102.7586714
2730,Denmark,2011,67.8,CPI2015,Total population,95.91666
2735,Denmark,2011,67.8,CPI2015,Total population,95.91666
2737,Denmark,2012,68.0,CPI2010,Total population,105.2227478
2744,Denmark,2012,68.0,CPI2015,Total population,98.21667
2746,Denmark,2013,67.8,CPI2010,Total population,106.0530308
2753,Denmark,2013,67.8,CPI2015,Total population,98.99167
2755,Denmark,2014,67.4,CPI2010,Total population,106.651188
2762,Denmark,2014,67.4,CPI2015,Total population,99.55
2764,Denmark,2015,67.1,CPI2010,Total population,107.1332878
2771,Denmark,2015,67.1,CPI2015,Total population,100.0
2773,Denmark,2016,65.5,CPI2010,Total population,107.40112109999998
2780,Denmark,2016,65.5,CPI2015,Total population,100.25
2782,Denmark,2017,66.1,CPI2010,Total population,108.6331539
2789,Denmark,2017,66.1,CPI2015,Total population,101.4
2791,Estonia,2018,4.3,CPI2010,Total population,119.4227044
2797,Estonia,2018,4.3,CPI2015,Total population,107.13
2801,Slovak Republic,2009,16.0,CPI2010,Total population,99.05205581
2802,Slovak Republic,2009,16.0,CPI2010,Total population,99.05205581
2811,Slovak Republic,2009,16.0,CPI2015,Total population,91.09355
2815,Slovak Republic,2009,16.0,CPI2015,Total population,91.09355
2819,Slovak Republic,2010,15.2,CPI2010,Total population,100.0
2820,Slovak Republic,2010,15.2,CPI2010,Total population,100.0
2829,Slovak Republic,2010,15.2,CPI2015,Total population,91.96533
2833,Slovak Republic,2010,15.2,CPI2015,Total population,91.96533
2837,Slovak Republic,2011,14.1,CPI2010,Total population,103.9192922
2838,Slovak Republic,2011,14.1,CPI2010,Total population,103.9192922
2847,Slovak Republic,2011,14.1,CPI2015,Total population,95.56972
2851,Slovak Republic,2011,14.1,CPI2015,Total population,95.56972
2855,Slovak Republic,2012,13.6,CPI2010,Total population,107.6667261
2856,Slovak Republic,2012,13.6,CPI2010,Total population,107.6667261
2865,Slovak Republic,2012,13.6,CPI2015,Total population,99.01606
2869,Slovak Republic,2012,13.6,CPI2015,Total population,99.01606
2873,Slovak Republic,2013,13.3,CPI2010,Total population,109.1746205
2874,Slovak Republic,2013,13.3,CPI2010,Total population,109.1746205
2883,Slovak Republic,2013,13.3,CPI2015,Total population,100.4028
2887,Slovak Republic,2013,13.3,CPI2015,Total population,100.4028
2890,Slovak Republic,2014,12.8,CPI2010,Total population,109.091437
2896,Slovak Republic,2014,12.8,CPI2015,Total population,100.3263
2899,Slovak Republic,2015,11.7,CPI2010,Total population,108.7366293
2905,Slovak Republic,2015,11.7,CPI2015,Total population,100.0
2908,Slovak Republic,2016,10.7,CPI2010,Total population,108.171188
2914,Slovak Republic,2016,10.7,CPI2015,Total population,99.47999
2918,Slovenia,2009,37.1,CPI2010,Total population,98.23069792
2919,Slovenia,2009,37.1,CPI2010,Total population,98.23069792
2928,Slovenia,2009,37.1,CPI2015,Total population,92.7175
2933,Slovenia,2009,37.1,CPI2015,Total population,92.7175
2936,Slovenia,2010,29.6,CPI2010,Total population,100.0
2937,Slovenia,2010,29.6,CPI2010,Total population,100.0
2946,Slovenia,2010,29.6,CPI2015,Total population,94.3875
2951,Slovenia,2010,29.6,CPI2015,Total population,94.3875
2954,Slovenia,2011,33.1,CPI2010,Total population,101.8028447
2955,Slovenia,2011,33.1,CPI2010,Total population,101.8028447
2964,Slovenia,2011,33.1,CPI2015,Total population,96.08916
2969,Slovenia,2011,33.1,CPI2015,Total population,96.08916
2972,Slovenia,2012,23.9,CPI2010,Total population,104.4470931
2973,Slovenia,2012,23.9,CPI2010,Total population,104.4470931
2982,Slovenia,2012,23.9,CPI2015,Total population,98.585
2987,Slovenia,2012,23.9,CPI2015,Total population,98.585
2990,Slovenia,2013,23.2,CPI2010,Total population,106.29500729999998
2991,Slovenia,2013,23.2,CPI2010,Total population,106.29500729999998
3000,Slovenia,2013,23.2,CPI2015,Total population,100.3292
3005,Slovenia,2013,23.2,CPI2015,Total population,100.3292
3007,Slovenia,2014,26.4,CPI2010,Total population,106.5068997
3014,Slovenia,2014,26.4,CPI2015,Total population,100.5292
3016,Slovenia,2015,20.9,CPI2010,Total population,105.9470799
3023,Slovenia,2015,20.9,CPI2015,Total population,100.0008
3025,Slovenia,2016,20.4,CPI2010,Total population,105.8888412
3032,Slovenia,2016,20.4,CPI2015,Total population,99.94583
3034,Japan,2009,18.4,CPI2010,Total population,100.7252007
3040,Japan,2009,18.4,CPI2010,Total population,100.7252007
3045,Japan,2009,18.4,CPI2015,Total population,97.225
3050,Japan,2009,18.4,CPI2015,Total population,97.225
3052,Japan,2012,17.9,CPI2010,Total population,99.6805698
3058,Japan,2012,17.9,CPI2010,Total population,99.6805698
3063,Japan,2012,17.9,CPI2015,Total population,96.21667
3068,Japan,2012,17.9,CPI2015,Total population,96.21667
3070,Japan,2015,17.4,CPI2010,Total population,103.6001036
3077,Japan,2015,17.4,CPI2015,Total population,100.0
3080,Hungary,2012,11.8,CPI2010,Total population,109.8042007
3081,Hungary,2012,11.8,CPI2010,Total population,109.8042007
3090,Hungary,2012,11.8,CPI2015,Total population,98.5813
3095,Hungary,2012,11.8,CPI2015,Total population,98.5813
3097,Hungary,2013,11.1,CPI2010,Total population,111.7073147
3104,Hungary,2013,11.1,CPI2015,Total population,100.2899
3106,Hungary,2014,10.2,CPI2010,Total population,111.4531355
3113,Hungary,2014,10.2,CPI2015,Total population,100.0617
3115,Hungary,2016,8.5,CPI2010,Total population,111.824157
3122,Hungary,2016,8.5,CPI2015,Total population,100.3948
3124,Hungary,2017,8.1,CPI2010,Total population,114.4500445
3131,Hungary,2017,8.1,CPI2015,Total population,102.7523
3133,Hungary,2018,7.9,CPI2010,Total population,117.7121597
3140,Hungary,2018,7.9,CPI2015,Total population,105.681
3143,Iceland,2009,84.9,CPI2010,Total population,94.87960241
3144,Iceland,2009,84.9,CPI2010,Total population,94.87960241
3153,Iceland,2009,84.9,CPI2015,Total population,80.51058
3158,Iceland,2009,84.9,CPI2015,Total population,80.51058
3161,Iceland,2010,85.2,CPI2010,Total population,100.0
3162,Iceland,2010,85.2,CPI2010,Total population,100.0
3171,Iceland,2010,85.2,CPI2015,Total population,84.85552
3176,Iceland,2010,85.2,CPI2015,Total population,84.85552
3179,Iceland,2012,85.3,CPI2010,Total population,109.3944154
3180,Iceland,2012,85.3,CPI2010,Total population,109.3944154
3189,Iceland,2012,85.3,CPI2015,Total population,92.8272
3194,Iceland,2012,85.3,CPI2015,Total population,92.8272
3196,Iceland,2014,90.4,CPI2010,Total population,115.9537765
3203,Iceland,2014,90.4,CPI2015,Total population,98.39318
3205,Iceland,2017,91.0,CPI2010,Total population,121.9569452
3212,Iceland,2017,91.0,CPI2015,Total population,103.4872
3215,Mexico,2012,14.0,CPI2010,Total population,107.6589765
3216,Mexico,2012,14.0,CPI2010,Total population,107.6589765
3225,Mexico,2012,14.0,CPI2015,Total population,90.15859
3228,Mexico,2012,14.0,CPI2015,Total population,90.15859
3232,Mexico,2014,13.6,CPI2010,Total population,116.247983
3237,Mexico,2014,13.6,CPI2015,Total population,97.35142
3241,Mexico,2016,12.7,CPI2010,Total population,122.780081
3246,Mexico,2016,12.7,CPI2015,Total population,102.8217
3251,Czech Republic,2009,16.7,CPI2010,Total population,98.5486365
3252,Czech Republic,2009,16.7,CPI2010,Total population,98.5486365
3261,Czech Republic,2009,16.7,CPI2015,Total population,91.66666
3266,Czech Republic,2009,16.7,CPI2015,Total population,91.66666
3269,Czech Republic,2010,16.1,CPI2010,Total population,100.0
3270,Czech Republic,2010,16.1,CPI2010,Total population,100.0
3279,Czech Republic,2010,16.1,CPI2015,Total population,93.01667
3284,Czech Republic,2010,16.1,CPI2015,Total population,93.01667
3287,Czech Republic,2011,15.4,CPI2010,Total population,101.9172155
3288,Czech Republic,2011,15.4,CPI2010,Total population,101.9172155
3297,Czech Republic,2011,15.4,CPI2015,Total population,94.8
3302,Czech Republic,2011,15.4,CPI2015,Total population,94.8
3305,Czech Republic,2012,14.8,CPI2010,Total population,105.2678622
3306,Czech Republic,2012,14.8,CPI2010,Total population,105.2678622
3315,Czech Republic,2012,14.8,CPI2015,Total population,97.91666
3320,Czech Republic,2012,14.8,CPI2015,Total population,97.91666
3323,Czech Republic,2013,13.6,CPI2010,Total population,106.7819349
3324,Czech Republic,2013,13.6,CPI2010,Total population,106.7819349
3333,Czech Republic,2013,13.6,CPI2015,Total population,99.325
3338,Czech Republic,2013,13.6,CPI2015,Total population,99.325
3340,Czech Republic,2014,12.9,CPI2010,Total population,107.1492454
3347,Czech Republic,2014,12.9,CPI2015,Total population,99.66666
3349,Czech Republic,2015,12.0,CPI2010,Total population,107.4807344
3356,Czech Republic,2015,12.0,CPI2015,Total population,99.975
3358,Czech Republic,2016,12.0,CPI2010,Total population,108.21533390000002
3365,Czech Republic,2016,12.0,CPI2015,Total population,100.6583
3367,Czech Republic,2017,11.7,CPI2010,Total population,110.8672241
3374,Czech Republic,2017,11.7,CPI2015,Total population,103.125
3376,Czech Republic,2018,11.5,CPI2010,Total population,113.2503453
3383,Czech Republic,2018,11.5,CPI2015,Total population,105.3417
3385,Sweden,2018,64.9,CPI2010,Total population,108.57214009999998
3390,Sweden,2018,64.9,CPI2015,Total population,104.8046
3394,Germany,2009,18.8,CPI2010,Total population,98.90824061
3399,Germany,2009,18.8,CPI2015,Total population,92.26585
3403,Germany,2010,18.9,CPI2010,Total population,100.0
3408,Germany,2010,18.9,CPI2015,Total population,93.28429
3413,Germany,2011,18.4,CPI2010,Total population,102.0751726
3414,Germany,2011,18.4,CPI2010,Total population,102.0751726
3423,Germany,2011,18.4,CPI2015,Total population,95.2201
3426,Germany,2011,18.4,CPI2015,Total population,95.2201
3430,Germany,2012,18.3,CPI2010,Total population,104.1253356
3435,Germany,2012,18.3,CPI2015,Total population,97.13258
3439,Germany,2013,18.0,CPI2010,Total population,105.6921374
3444,Germany,2013,18.0,CPI2015,Total population,98.59416
3448,Germany,2014,17.7,CPI2010,Total population,106.6505518
3453,Germany,2014,17.7,CPI2015,Total population,99.48821
3457,Germany,2015,17.6,CPI2010,Total population,107.1991865
3462,Germany,2015,17.6,CPI2015,Total population,100.0
3466,Germany,2016,17.0,CPI2010,Total population,107.7262849
3471,Germany,2016,17.0,CPI2015,Total population,100.4917
3475,Germany,2017,16.7,CPI2010,Total population,109.35249650000002
3480,Germany,2017,16.7,CPI2015,Total population,102.0087
3485,Portugal,2010,19.6,CPI2010,Total population,100.0
3486,Portugal,2010,19.6,CPI2010,Total population,100.0
3495,Portugal,2010,19.6,CPI2015,Total population,93.42072
3500,Portugal,2010,19.6,CPI2015,Total population,93.42072
3503,Portugal,2011,18.7,CPI2010,Total population,103.6530119
3504,Portugal,2011,18.7,CPI2010,Total population,103.6530119
3513,Portugal,2011,18.7,CPI2015,Total population,96.83339
3518,Portugal,2011,18.7,CPI2015,Total population,96.83339
3520,Portugal,2015,16.1,CPI2010,Total population,107.0426347
3527,Portugal,2015,16.1,CPI2015,Total population,100.0
3529,Portugal,2016,15.3,CPI2010,Total population,107.6928116
3536,Portugal,2016,15.3,CPI2015,Total population,100.6074
3538,Netherlands,2014,18.1,CPI2010,Total population,108.5317738
3545,Netherlands,2014,18.1,CPI2015,Total population,99.40334
3547,Netherlands,2015,17.7,CPI2010,Total population,109.1832265
3554,Netherlands,2015,17.7,CPI2015,Total population,100.0
3556,Netherlands,2016,17.3,CPI2010,Total population,109.5290098
3563,Netherlands,2016,17.3,CPI2015,Total population,100.3167
3565,Israel,2017,25.0,CPI2010,Total population,106.3806978
3571,Israel,2017,25.0,CPI2015,Total population,99.69849
3574,Canada,2016,26.3,CPI2010,Total population,110.2247098
3579,Canada,2016,26.3,CPI2015,Total population,101.4288
3583,Canada,2017,26.3,CPI2010,Total population,111.9848702
3588,Canada,2017,26.3,CPI2015,Total population,103.0485
3592,Canada,2018,25.9,CPI2010,Total population,114.52486100000002
3597,Canada,2018,25.9,CPI2015,Total population,105.3858
3601,New Zealand,2009,21.5,CPI2010,Total population,97.74976026
3606,New Zealand,2009,21.5,CPI2015,Total population,90.55659
3611,New Zealand,2011,20.5,CPI2010,Total population,104.027893
3612,New Zealand,2011,20.5,CPI2010,Total population,104.027893
3621,New Zealand,2011,20.5,CPI2015,Total population,96.37273
3624,New Zealand,2011,20.5,CPI2015,Total population,96.37273
3628,New Zealand,2012,20.3,CPI2010,Total population,105.1305013
3633,New Zealand,2012,20.3,CPI2015,Total population,97.3942
3637,New Zealand,2014,18.5,CPI2010,Total population,107.628255
3642,New Zealand,2014,18.5,CPI2015,Total population,99.70815
3647,Italy,2009,34.7,CPI2010,Total population,98.4974009
3648,Italy,2009,34.7,CPI2010,Total population,98.4974009
3657,Italy,2009,34.7,CPI2015,Total population,91.59818
3660,Italy,2009,34.7,CPI2015,Total population,91.59818
3665,Italy,2010,35.5,CPI2010,Total population,100.0
3666,Italy,2010,35.5,CPI2010,Total population,100.0
3675,Italy,2010,35.5,CPI2015,Total population,92.99553
3678,Italy,2010,35.5,CPI2015,Total population,92.99553
3683,Italy,2011,35.8,CPI2010,Total population,102.780639
3684,Italy,2011,35.8,CPI2010,Total population,102.780639
3693,Italy,2011,35.8,CPI2015,Total population,95.5814
3696,Italy,2011,35.8,CPI2015,Total population,95.5814
3701,Italy,2012,36.3,CPI2010,Total population,105.9065635
3702,Italy,2012,36.3,CPI2010,Total population,105.9065635
3711,Italy,2012,36.3,CPI2015,Total population,98.48837
3714,Italy,2012,36.3,CPI2015,Total population,98.48837
3719,Italy,2013,36.8,CPI2010,Total population,107.1986256
3720,Italy,2013,36.8,CPI2010,Total population,107.1986256
3729,Italy,2013,36.8,CPI2015,Total population,99.68993
3732,Italy,2013,36.8,CPI2015,Total population,99.68993
3736,Italy,2014,36.4,CPI2010,Total population,107.4570251
3741,Italy,2014,36.4,CPI2015,Total population,99.93023
3745,Italy,2015,35.7,CPI2010,Total population,107.4987045
3750,Italy,2015,35.7,CPI2015,Total population,99.96899
3754,Italy,2016,34.4,CPI2010,Total population,107.3976351
3759,Italy,2016,34.4,CPI2015,Total population,99.875
3763,Italy,2017,34.3,CPI2010,Total population,108.7149027
3768,Italy,2017,34.3,CPI2015,Total population,101.1
3773,Ireland,2012,30.1,CPI2010,Total population,104.2967829
3774,Ireland,2012,30.1,CPI2010,Total population,104.2967829
3783,Ireland,2012,30.1,CPI2015,Total population,99.6013
3787,Ireland,2012,30.1,CPI2015,Total population,99.6013
3790,Ireland,2014,26.3,CPI2010,Total population,105.0186831
3796,Ireland,2014,26.3,CPI2015,Total population,100.2907
3799,Ireland,2015,25.4,CPI2010,Total population,104.7142787
3805,Ireland,2015,25.4,CPI2015,Total population,100.0
3808,Lithuania,2009,10.0,CPI2010,Total population,98.69795408
3814,Lithuania,2009,10.0,CPI2010,Total population,98.69795408
3819,Lithuania,2009,10.0,CPI2015,Total population,91.70551
3822,Lithuania,2009,10.0,CPI2015,Total population,91.70551
3826,Lithuania,2010,10.1,CPI2010,Total population,100.0
3832,Lithuania,2010,10.1,CPI2010,Total population,100.0
3837,Lithuania,2010,10.1,CPI2015,Total population,92.91531
3840,Lithuania,2010,10.1,CPI2015,Total population,92.91531
3844,Lithuania,2011,9.7,CPI2010,Total population,104.1302773
3850,Lithuania,2011,9.7,CPI2010,Total population,104.1302773
3855,Lithuania,2011,9.7,CPI2015,Total population,96.75297
3858,Lithuania,2011,9.7,CPI2015,Total population,96.75297
3862,Lithuania,2012,9.0,CPI2010,Total population,107.3478741
3868,Lithuania,2012,9.0,CPI2010,Total population,107.3478741
3873,Lithuania,2012,9.0,CPI2015,Total population,99.74261
3876,Lithuania,2012,9.0,CPI2015,Total population,99.74261
3880,Lithuania,2013,8.4,CPI2010,Total population,108.4723282
3886,Lithuania,2013,8.4,CPI2010,Total population,108.4723282
3891,Lithuania,2013,8.4,CPI2015,Total population,100.7874
3894,Lithuania,2013,8.4,CPI2015,Total population,100.7874
3898,Lithuania,2014,8.1,CPI2010,Total population,108.5849038
3903,Lithuania,2014,8.1,CPI2015,Total population,100.892
3907,Lithuania,2015,7.9,CPI2010,Total population,107.624879
3912,Lithuania,2015,7.9,CPI2015,Total population,99.99999
3916,Lithuania,2016,7.7,CPI2010,Total population,108.5994332
3921,Lithuania,2016,7.7,CPI2015,Total population,100.9055
3925,Lithuania,2017,7.7,CPI2010,Total population,112.6424698
3930,Lithuania,2017,7.7,CPI2015,Total population,104.6621
3934,Lithuania,2018,7.1,CPI2010,Total population,115.6814738
3939,Lithuania,2018,7.1,CPI2015,Total population,107.4858
3943,United States,2009,11.8,CPI2010,Total population,98.38642286
3948,United States,2009,11.8,CPI2015,Total population,90.51545
3952,United States,2010,11.4,CPI2010,Total population,100.0
3957,United States,2010,11.4,CPI2015,Total population,91.99994
3961,United States,2011,11.3,CPI2010,Total population,103.1568499
3966,United States,2011,11.3,CPI2015,Total population,94.90424
3970,United States,2012,10.8,CPI2010,Total population,105.2915035
3975,United States,2012,10.8,CPI2015,Total population,96.86812
3979,United States,2013,10.8,CPI2010,Total population,106.8338523
3986,United States,2013,10.8,CPI2015,Total population,98.28708
3988,United States,2014,10.7,CPI2010,Total population,108.5669404
3995,United States,2014,10.7,CPI2015,Total population,99.88152
3997,United States,2015,10.6,CPI2010,Total population,108.6957231
4004,United States,2015,10.6,CPI2015,Total population,100.0
4006,United States,2016,10.3,CPI2010,Total population,110.0670283
4013,United States,2016,10.3,CPI2015,Total population,101.2616
4015,United States,2017,10.3,CPI2010,Total population,112.4115951
4022,United States,2017,10.3,CPI2015,Total population,103.4186
